Date,Open,High,Low,Close
,^NSEI,^NSEI,^NSEI,^NSEI
01-04-2011,5835,5860.200195,5810.399902,5826.049805
04-04-2011,5842,5918.700195,5833.200195,5908.450195
05-04-2011,5923.850098,5928.649902,5855.850098,5910.049805
06-04-2011,5908,5944.450195,5868.799805,5891.75
07-04-2011,5888.549805,5906.100098,5866.25,5885.700195
08-04-2011,5886.75,5926.950195,5822,5842
11-04-2011,5805.350098,5830.299805,5777.899902,5785.700195
13-04-2011,5747.950195,5923.600098,5735.549805,5911.5
15-04-2011,5898.75,5907.350098,5806.450195,5824.549805
18-04-2011,5824.350098,5897.899902,5722.25,5729.100098
19-04-2011,5716,5762.950195,5693.25,5740.75
20-04-2011,5786.049805,5857.350098,5759.649902,5851.649902
21-04-2011,5882.850098,5912.899902,5864.350098,5884.700195
25-04-2011,5859.600098,5906.600098,5857,5874.5
26-04-2011,5876.850098,5893.200195,5791.549805,5868.399902
27-04-2011,5884.200195,5892.350098,5819.950195,5833.899902
28-04-2011,5851.350098,5856.399902,5776.950195,5785.450195
29-04-2011,5782.5,5804.299805,5706.049805,5749.5
02-05-2011,5766.899902,5775.25,5687.700195,5701.299805
03-05-2011,5689.700195,5710.799805,5554.850098,5565.25
04-05-2011,5567.700195,5578.799805,5503,5537.149902
05-05-2011,5531.600098,5560.299805,5443.649902,5459.850098
06-05-2011,5477.649902,5564.399902,5472.450195,5551.450195
09-05-2011,5575.200195,5586.049805,5502.399902,5551.100098
10-05-2011,5555.549805,5592.899902,5514.549805,5541.25
11-05-2011,5547.200195,5574.700195,5525,5565.049805
12-05-2011,5537.799805,5572.5,5476.299805,5486.149902
13-05-2011,5492.350098,5605,5472.149902,5544.75
16-05-2011,5541.700195,5541.799805,5487.649902,5499
17-05-2011,5496.100098,5523.850098,5421.049805,5438.950195
18-05-2011,5448.200195,5460.5,5401.25,5420.600098
19-05-2011,5448.149902,5452.600098,5411.25,5428.100098
20-05-2011,5450.649902,5517.549805,5432.75,5486.350098
23-05-2011,5456.700195,5456.700195,5373,5386.549805
24-05-2011,5385.100098,5422.600098,5367.450195,5394.850098
25-05-2011,5389.100098,5389.100098,5328.700195,5348.950195
26-05-2011,5372.75,5422.200195,5356.350098,5412.350098
27-05-2011,5413.700195,5485.799805,5413.600098,5476.100098
30-05-2011,5493.75,5509.299805,5458.600098,5473.100098
01-06-2011,5561.049805,5597.350098,5559.450195,5592
02-06-2011,5529.899902,5568.200195,5521.950195,5550.350098
03-06-2011,5565.700195,5604.950195,5507.200195,5516.75
06-06-2011,5504.299805,5542.649902,5479.850098,5532.049805
07-06-2011,5509.149902,5570.100098,5507.799805,5556.149902
08-06-2011,5535.25,5556.600098,5514.899902,5526.850098
09-06-2011,5523.549805,5540.100098,5502.049805,5521.049805
10-06-2011,5518.049805,5521.450195,5457.450195,5485.799805
13-06-2011,5469.850098,5496.700195,5436.950195,5482.799805
14-06-2011,5485.600098,5520.149902,5484.200195,5500.5
15-06-2011,5494.450195,5499.350098,5438.950195,5447.5
16-06-2011,5419.649902,5447.5,5389.799805,5396.75
17-06-2011,5412.5,5421.149902,5355.850098,5366.399902
20-06-2011,5372.200195,5377.399902,5195.899902,5257.899902
21-06-2011,5280.799805,5322.450195,5257,5275.850098
22-06-2011,5304.649902,5310.5,5262.5,5278.299805
23-06-2011,5269.100098,5330.600098,5252.25,5320
24-06-2011,5343.399902,5477.850098,5343.399902,5471.25
27-06-2011,5441.200195,5552.649902,5434.25,5526.600098
28-06-2011,5548.850098,5558.299805,5496.350098,5545.299805
29-06-2011,5566.5,5608.649902,5566.5,5600.450195
30-06-2011,5614.5,5657.899902,5606.100098,5647.399902
01-07-2011,5705.75,5705.799805,5609.75,5627.200195
04-07-2011,5679.549805,5679.649902,5633.100098,5650.5
05-07-2011,5659.850098,5659.850098,5612.299805,5632.100098
06-07-2011,5622.700195,5655.399902,5610.75,5625.450195
07-07-2011,5633.350098,5737.149902,5632.950195,5728.950195
08-07-2011,5734.649902,5740.399902,5651.049805,5660.649902
11-07-2011,5648.049805,5652.899902,5601.700195,5616.100098
12-07-2011,5556.899902,5580.25,5496.950195,5526.149902
13-07-2011,5542.049805,5596.149902,5541.399902,5585.450195
15-07-2011,5602.950195,5631.700195,5562.75,5581.100098
18-07-2011,5581.75,5596.600098,5550.950195,5567.049805
19-07-2011,5569.850098,5627.649902,5557.200195,5613.549805
20-07-2011,5642.049805,5645.399902,5555.100098,5567.049805
21-07-2011,5554.600098,5578.899902,5532.700195,5541.600098
