Date,Close,High,Low,Open,Volume
01-04-2011,20.11000061,22.18000031,20.10000038,22.18000031,0
04-04-2011,20.05999947,21.05999947,19.89999962,20.11000061,0
05-04-2011,19.89999962,20.71999931,18.84000015,20.05999947,0
06-04-2011,20.36000061,20.54000092,19.42000008,19.89999962,0
07-04-2011,20.31999969,20.79000092,19.96999931,20.36000061,0
08-04-2011,20.54000092,21.05999947,19.23999977,20.31999969,0
11-04-2011,21.23999977,21.62999916,20.36000061,20.54000092,0
13-04-2011,20.40999985,21.29000092,20.28000069,21.23999977,0
15-04-2011,21.59000015,22.39999962,19.54000092,20.40999985,0
18-04-2011,22.45000076,22.98999977,21.13999939,21.59000015,0
19-04-2011,22.06999969,23.04000092,21.5,22.45000076,0
20-04-2011,20.98999977,22.06999969,20.79000092,22.06999969,0
21-04-2011,20.51000023,20.98999977,19.86000061,20.98999977,0
25-04-2011,20.90999985,21.62000084,20.40999985,20.51000023,0
26-04-2011,21.70999908,22.42000008,20.87999916,20.90999985,0
27-04-2011,21.35000038,21.88999939,20.71999931,21.70999908,0
28-04-2011,20.92000008,21.64999962,20.25,21.35000038,0
29-04-2011,19.57999992,20.92000008,18.45000076,20.92000008,0
02-05-2011,20.87999916,21.12999916,19.57999992,19.57999992,0
03-05-2011,21.57999992,21.94000053,20.35000038,20.87999916,0
04-05-2011,21.18000031,21.80999947,20.57999992,21.57999992,0
05-05-2011,21.60000038,21.70000076,19.87999916,21.18000031,0
06-05-2011,20.96999931,21.60000038,19.36000061,21.60000038,0
09-05-2011,21.5,21.95000076,19.92000008,20.96999931,0
10-05-2011,21.73999977,21.90999985,20.19000053,21.5,0
11-05-2011,21.23999977,21.73999977,19.88999939,21.73999977,0
12-05-2011,21.22999954,21.45000076,19.82999992,21.23999977,0
13-05-2011,20.62999916,21.22999954,19.39999962,21.22999954,0
16-05-2011,21.45999908,21.96999931,19.89999962,20.62999916,0
17-05-2011,21.03000069,21.45999908,19.76000023,21.45999908,0
18-05-2011,20.70999908,21.42000008,19.42000008,21.03000069,0
19-05-2011,20.40999985,20.71999931,19.12999916,20.70999908,0
20-05-2011,19.45000076,20.40999985,18.42000008,20.40999985,0
23-05-2011,21.04000092,23.45000076,18.52000046,19.45000076,0
24-05-2011,19.93000031,21.36000061,19.54999924,21.04000092,0
25-05-2011,20.65999985,24.30999947,19.35000038,19.93000031,0
26-05-2011,19.18000031,20.85000038,18.53000069,20.65999985,0
27-05-2011,17.25,19.18000031,17.13999939,19.18000031,0
30-05-2011,17.87000084,18.87000084,17.25,17.25,0
31-05-2011,16.81999969,17.87000084,16.67000008,17.87000084,0
01-06-2011,16.72999954,17.43000031,16.36000061,16.81999969,0
02-06-2011,17.97999954,18.04000092,16.72999954,16.72999954,0
03-06-2011,17.61000061,18.17000008,16.98999977,17.97999954,0
06-06-2011,18.20999908,18.84000015,17.59000015,17.61000061,0
07-06-2011,18.03000069,18.57999992,17.84000015,18.20999908,0
08-06-2011,18.57999992,18.71999931,17.70999908,18.03000069,0
09-06-2011,18.57999992,19,17.79999924,18.57999992,0
10-06-2011,18.54000092,19.75,17.54999924,18.57999992,0
13-06-2011,18.90999985,19.40999985,18.22999954,18.54000092,0
14-06-2011,18.51000023,18.90999985,17.53000069,18.90999985,0
15-06-2011,19.13999939,19.21999931,17.89999962,18.51000023,0
16-06-2011,19.65999985,19.86000061,18.34000015,19.13999939,0
17-06-2011,20.27000046,20.28000069,18.60000038,19.65999985,0
20-06-2011,22.18000031,24.37999916,19.78000069,20.27000046,0
21-06-2011,21.30999947,22.18000031,20.93000031,22.18000031,0
22-06-2011,20.88999939,21.30999947,20.23999977,21.30999947,0
23-06-2011,19.5,20.95000076,19.46999931,20.88999939,0
24-06-2011,19.31999969,19.5,18.25,19.5,0
27-06-2011,19.98999977,20.37000084,19.20999908,19.31999969,0
28-06-2011,19.48999977,19.98999977,19.31999969,19.98999977,0
29-06-2011,19.45999908,19.54000092,18.76000023,19.48999977,0
30-06-2011,18.40999985,19.45999908,18.40999985,19.45999908,0
01-07-2011,18.20999908,18.43000031,17.79000092,18.40999985,0
04-07-2011,18.17000008,18.70999908,17.84000015,18.20999908,0
05-07-2011,18.25,18.52000046,17.78000069,18.17000008,0
06-07-2011,18.34000015,18.48999977,18.12000084,18.25,0
07-07-2011,18.62000084,18.62000084,17.35000038,18.34000015,0
08-07-2011,18.67000008,18.79000092,18.02000046,18.62000084,0
11-07-2011,19.69000053,19.70999908,18.60000038,18.67000008,0
12-07-2011,20.82999992,21.21999931,19.40999985,19.69000053,0
13-07-2011,19.52000046,20.82999992,19.5,20.82999992,0
14-07-2011,19.96999931,20.29000092,17.85000038,19.52000046,0
15-07-2011,19.95000076,20.26000023,19.07999992,19.96999931,0
18-07-2011,20.20000076,20.39999962,19.29000092,19.95000076,0
19-07-2011,19.25,20.20000076,19.07999992,20.20000076,0
20-07-2011,19.11000061,19.45999908,18.47999954,19.25,0
21-07-2011,18.75,19.15999985,18.63999939,19.11000061,0
22-07-2011,17.90999985,18.75,17.27000046,18.75,0
25-07-2011,19.20000076,19.22999954,16.54999924,17.90999985,0
26-07-2011,19.29999924,19.59000015,18.40999985,19.20000076,0
27-07-2011,18.25,19.36000061,18.12999916,19.29999924,0
28-07-2011,18.51000023,19.04000092,18.25,18.25,0
29-07-2011,19.77000046,19.87999916,18.38999939,18.51000023,0
01-08-2011,18.78000069,19.77000046,18.57999992,19.77000046,0
02-08-2011,19.14999962,19.51000023,18.37999916,18.78000069,0
03-08-2011,19.47999954,19.98999977,18.97999954,19.14999962,0
04-08-2011,20.21999931,20.28000069,19.26000023,19.43000031,0
05-08-2011,24.89999962,26.39999962,19.84000015,20.21999931,0
08-08-2011,28.78000069,29.64999962,24.89999962,24.89999962,0
09-08-2011,34.88000107,37,28.78000069,28.78000069,0
10-08-2011,28.95000076,34.88000107,26.09000015,34.88000107,0
11-08-2011,29.09000015,29.48999977,27.39999962,28.95000076,0
12-08-2011,27.02000046,29.09000015,25.64999962,29.09000015,0
16-08-2011,26.45999908,27.12999916,24.98999977,27.02000046,0
17-08-2011,25.47999954,26.45999908,24.53000069,26.45999908,0
18-08-2011,27.45000076,27.87000084,22.35000038,25.47999954,0
19-08-2011,29.19000053,31.12999916,25.89999962,27.45000076,0
22-08-2011,27.07999992,30.35000038,27.03000069,29.19000053,0
23-08-2011,25.92000008,29.05999947,25.22999954,27.07999992,0
24-08-2011,28.60000038,29.21999931,24.93000031,25.92000008,0
25-08-2011,27.94000053,30.34000015,26.40999985,28.60000038,0
26-08-2011,33.25999832,33.25999832,27.75,27.94000053,0
29-08-2011,26.06999969,33.25999832,25.65999985,33.25999832,0
30-08-2011,24.87999916,26.39999962,24.39999962,26.06999969,0
02-09-2011,26.09000015,26.37000084,24.01000023,24.87999916,0
05-09-2011,27.82999992,28.31999969,26.09000015,26.09000015,0
06-09-2011,28.65999985,30.5,26.80999947,27.82999992,0
07-09-2011,27.86000061,28.77000046,27.39999962,28.65999985,0
08-09-2011,27.63999939,28.67000008,26.97999954,27.86000061,0
09-09-2011,28.14999962,28.28000069,26.14999962,27.63999939,0
12-09-2011,32.75,32.91999817,27.30999947,28.14999962,0
13-09-2011,32.77000046,33.70999908,29.42000008,32.75,0
14-09-2011,32.45000076,34.74000168,31.23999977,32.77000046,0
15-09-2011,30.79000092,33.72000122,29.90999985,32.45000076,0
16-09-2011,28.45000076,30.79000092,28.37000084,30.79000092,0
19-09-2011,29.60000038,30.75,27.55999947,28.45000076,0
20-09-2011,27.25,29.60000038,27.01000023,29.60000038,0
21-09-2011,27.67000008,28.17000008,25.98999977,27.25,0
22-09-2011,33.88000107,34.91999817,27.67000008,27.67000008,0
23-09-2011,35.15999985,37.54999924,33.52000046,33.88000107,0
26-09-2011,35.43000031,38.18999863,34.47000122,35.15999985,0
27-09-2011,32.00999832,35.43000031,31.23999977,35.43000031,0
28-09-2011,32,34.11000061,31.03000069,32.00999832,0
29-09-2011,31.06999969,32.81000137,30.5,32,0
30-09-2011,31.94000053,32.52000046,30.28000069,31.06999969,0
03-10-2011,35.06999969,36.04999924,31.94000053,31.94000053,0
04-10-2011,37.18999863,39.02000046,34.79000092,35.06999969,0
05-10-2011,35.36999893,37.18999863,34.75999832,37.18999863,0
07-10-2011,33.02000046,35.36999893,29.89999962,35.36999893,0
10-10-2011,30.03000069,33.70999908,30.03000069,33.02000046,0
11-10-2011,30.29999924,30.95000076,28.14999962,30.03000069,0
12-10-2011,28.40999985,30.29999924,28.01000023,30.29999924,0
13-10-2011,28.23999977,28.54000092,27.42000008,28.40999985,0
14-10-2011,25.97999954,28.30999947,25.72999954,28.23999977,0
17-10-2011,25.43000031,26.53000069,25,25.97999954,0
18-10-2011,25.89999962,26.59000015,25.32999992,25.43000031,0
19-10-2011,24.04999924,25.89999962,23.53000069,25.89999962,0
20-10-2011,25.60000038,26.54000092,19.60000038,24.04999924,0
21-10-2011,26.29999924,26.70000076,24.38999939,25.60000038,0
24-10-2011,25.21999931,26.29999924,24.57999992,26.29999924,0
25-10-2011,22.30999947,25.21999931,22,25.21999931,0
28-10-2011,20.88999939,22.69000053,20.56999969,22.69000053,0
31-10-2011,22.65999985,22.79000092,20.27000046,20.27000046,0
01-11-2011,24.02000046,24.60000038,20.72999954,20.72999954,0
02-11-2011,24.88999939,24.92000008,23.56999969,24.02000046,0
03-11-2011,24.65999985,26.18000031,24.42000008,24.88999939,0
04-11-2011,23.43000031,23.87999916,21.12999916,21.12999916,0
08-11-2011,23.70999908,24.73999977,20.75,20.75,0
09-11-2011,24.29999924,24.81999969,20.15999985,23.70999908,0
11-11-2011,24.73999977,25.93000031,24.27000046,24.29999924,0
14-11-2011,25.29000092,25.46999931,24,24.73999977,0
15-11-2011,25.96999931,26.03000069,24.43000031,25.29000092,0
16-11-2011,25.04000092,27.21999931,24.93000031,25.96999931,0
17-11-2011,26.92000008,27.27000046,24.72999954,25.04000092,0
18-11-2011,26.57999992,28.22999954,26.28000069,26.92000008,0
21-11-2011,28.61000061,28.69000053,23.06999969,23.06999969,0
22-11-2011,27.35000038,28.89999962,22.63999939,22.63999939,0
