Date ,Open ,High ,Low ,Close ,Prev. Close ,Change ,% Change 
01-JAN-2018,12.67,13.6125,12.545,13.3525,12.67,0.68,5.39
02-JAN-2018,13.3525,13.8425,12.605,13.685,13.3525,0.33,2.49
03-JAN-2018,13.685,13.715,12.765,13.6225,13.685,-0.06,-0.46
04-JAN-2018,13.6225,13.7925,12.1825,13.415,13.6225,-0.21,-1.52
05-JAN-2018,13.415,13.415,12.42,13.1125,13.415,-0.30,-2.25
08-JAN-2018,13.1125,13.855,11.8125,13.735,13.1125,0.62,4.75
09-JAN-2018,13.735,14.13,12.25,13.8475,13.735,0.11,0.82
10-JAN-2018,13.8475,14.2275,12.5175,14.035,13.8475,0.19,1.35
11-JAN-2018,14.035,14.2775,12.985,14.0125,14.035,-0.02,-0.16
12-JAN-2018,14.0125,14.5525,11.92,13.7325,14.0125,-0.28,-2.00
15-JAN-2018,13.7325,14.475,11.8125,14.305,13.7325,0.57,4.17
16-JAN-2018,14.305,14.585,12.3475,14.085,14.305,-0.22,-1.54
17-JAN-2018,14.085,14.445,10.345,13.86,14.085,-0.23,-1.60
18-JAN-2018,13.86,14.22,11.655,13.96,13.86,0.10,0.72
19-JAN-2018,13.96,14.195,10.75,13.9825,13.96,0.02,0.16
22-JAN-2018,13.9825,15.59,12.0675,15.3925,13.9825,1.41,10.08
23-JAN-2018,15.3925,16.2975,14.11,16.225,15.3925,0.83,5.41
24-JAN-2018,16.225,18.495,14.64,18.04,16.225,1.82,11.19
25-JAN-2018,18.04,18.235,17.035,17.5075,18.04,-0.53,-2.95
29-JAN-2018,17.5075,18.485,16.3625,17.8875,17.5075,0.38,2.17
30-JAN-2018,17.8875,18.005,16.15,16.415,17.8875,-1.47,-8.23
31-JAN-2018,16.415,16.415,14.2875,15.93,16.415,-0.49,-2.95
01-FEB-2018,15.93,16.7725,13.9025,14.1075,15.93,-1.82,-11.44
02-FEB-2018,14.1075,15.49,11.4975,15.25,14.1075,1.14,8.10
05-FEB-2018,15.25,18.335,15.08,16.0525,15.25,0.80,5.26
06-FEB-2018,16.0525,23.1575,16.0525,20.015,16.0525,3.96,24.68
07-FEB-2018,20.015,20.015,16.7975,19.465,20.015,-0.55,-2.75
08-FEB-2018,19.465,24.035,15.2625,17.7725,19.465,-1.69,-8.70
09-FEB-2018,17.7725,20.4225,15.15,19.23,17.7725,1.46,8.20
12-FEB-2018,19.23,19.23,16.5675,17.8825,19.23,-1.35,-7.01
14-FEB-2018,17.8825,17.8825,15.52,17.185,17.8825,-0.70,-3.90
15-FEB-2018,17.185,17.185,14.085,16.315,17.185,-0.87,-5.06
16-FEB-2018,16.315,16.9725,12.57,16.3775,16.315,0.06,0.38
19-FEB-2018,16.3775,18.035,13.955,16.6675,16.3775,0.29,1.77
20-FEB-2018,16.6675,17.5375,16.3275,16.8675,16.6675,0.20,1.20
21-FEB-2018,16.8675,16.87,15.725,15.92,16.8675,-0.95,-5.62
22-FEB-2018,15.92,16.4575,14.5025,14.8325,15.92,-1.09,-6.83
23-FEB-2018,14.8325,14.8325,13.535,14.2025,14.8325,-0.63,-4.25
26-FEB-2018,14.2025,14.325,13.53,13.695,14.2025,-0.51,-3.57
27-FEB-2018,13.695,14.4225,12.4475,13.9225,13.695,0.23,1.66
