Date ,Open ,High ,Low ,Close ,Prev. Close ,Change ,% Change 
02-JAN-2017,15.465,16.375,14.64,15.83,15.465,0.37,2.36
03-JAN-2017,15.83,16.4175,14.9025,15.9575,15.83,0.13,0.81
04-JAN-2017,15.9575,16.1,14.8975,15.89,15.9575,-0.07,-0.42
05-JAN-2017,15.89,15.89,14.4475,15.05,15.89,-0.84,-5.29
06-JAN-2017,15.05,15.0875,13.9225,14.9125,15.05,-0.14,-0.91
09-JAN-2017,14.9125,15.635,13.82,15.48,14.9125,0.57,3.81
10-JAN-2017,15.48,15.48,14.025,15.195,15.48,-0.29,-1.84
11-JAN-2017,15.195,15.195,13.5375,14.8075,15.195,-0.39,-2.55
12-JAN-2017,14.8075,14.865,13.4625,14.6125,14.8075,-0.20,-1.32
13-JAN-2017,14.6125,14.6525,13.375,14.3825,14.6125,-0.23,-1.57
16-JAN-2017,14.3825,15.25,13.425,15.065,14.3825,0.68,4.75
17-JAN-2017,15.065,15.62,13.98,15.3925,15.065,0.33,2.17
18-JAN-2017,15.3925,15.3925,13.6125,15.1825,15.3925,-0.21,-1.36
19-JAN-2017,15.1825,15.2775,14.035,15.02,15.1825,-0.16,-1.07
20-JAN-2017,15.02,15.8675,13.8525,15.79,15.02,0.77,5.13
23-JAN-2017,15.79,16.3725,15.5025,15.905,15.79,0.12,0.73
24-JAN-2017,15.905,15.96,14.3875,15.285,15.905,-0.62,-3.90
25-JAN-2017,15.285,15.425,14.41,15.17,15.285,-0.12,-0.75
27-JAN-2017,15.17,16.125,14.93,16.005,15.17,0.84,5.50
30-JAN-2017,16.005,16.8575,15.3925,16.67,16.005,0.67,4.15
31-JAN-2017,16.67,17.09,15.7125,16.825,16.67,0.16,0.93
01-FEB-2017,16.825,17.4275,13.8025,13.97,16.825,-2.86,-16.97
02-FEB-2017,13.97,13.97,12.64,13.52,13.97,-0.45,-3.22
03-FEB-2017,13.52,13.595,11.7825,13.1275,13.52,-0.39,-2.90
06-FEB-2017,13.1275,13.6125,11.06,13.3975,13.1275,0.27,2.06
07-FEB-2017,13.3975,13.7225,12.24,13.5075,13.3975,0.11,0.82
08-FEB-2017,13.5075,13.7575,11.435,13.35,13.5075,-0.16,-1.17
09-FEB-2017,13.35,13.78,11.395,13.235,13.35,-0.12,-0.86
10-FEB-2017,13.235,13.3325,11.37,13.1775,13.235,-0.06,-0.43
13-FEB-2017,13.1775,13.76,11.57,13.6925,13.1775,0.52,3.91
14-FEB-2017,13.6925,14.01,12.0975,13.8025,13.6925,0.11,0.80
15-FEB-2017,13.8025,14.46,11.7275,14.2125,13.8025,0.41,2.97
16-FEB-2017,14.2125,14.2125,11.4375,13.73,14.2125,-0.48,-3.39
17-FEB-2017,13.73,13.7725,12.4675,13.4325,13.73,-0.30,-2.17
20-FEB-2017,13.4325,13.8475,12.4125,13.61,13.4325,0.18,1.32
21-FEB-2017,13.61,14.2825,11.8925,13.525,13.61,-0.09,-0.62
22-FEB-2017,13.525,14.0425,12.7225,13.7,13.525,0.18,1.29
23-FEB-2017,13.7,13.96,12.915,13.4,13.7,-0.30,-2.19
27-FEB-2017,13.4,14.2725,13.4,13.675,13.4,0.28,2.05
28-FEB-2017,13.675,14.025,13.1675,13.7925,13.675,0.12,0.86
01-MAR-2017,13.7925,13.7975,13.2075,13.575,13.7925,-0.22,-1.58
02-MAR-2017,13.575,13.615,13.03,13.3625,13.575,-0.21,-1.57
03-MAR-2017,13.3625,13.6025,12.5675,13.3525,13.3625,-0.01,-0.07
06-MAR-2017,13.3525,13.725,12.81,13.64,13.3525,0.29,2.15
07-MAR-2017,13.64,14.0075,13.09,13.875,13.64,0.24,1.72
08-MAR-2017,13.875,14.2875,12.6875,14.075,13.875,0.20,1.44
09-MAR-2017,14.075,14.7825,12.6025,14.39,14.075,0.32,2.24
10-MAR-2017,14.39,14.39,13.575,13.9575,14.39,-0.43,-3.01
14-MAR-2017,13.9575,13.9575,11.085,12.4,13.9575,-1.56,-11.16
15-MAR-2017,12.4,12.5325,11.2025,12.4225,12.4,0.02,0.18
16-MAR-2017,12.4225,12.4225,11.3425,11.91,12.4225,-0.51,-4.13
17-MAR-2017,11.91,12.1125,10.3875,11.8525,11.91,-0.06,-0.48
20-MAR-2017,11.8525,12.31,11.44,12.0175,11.8525,0.17,1.39
21-MAR-2017,12.0175,12.155,11.0325,11.9425,12.0175,-0.08,-0.62
22-MAR-2017,11.9425,12.3575,11.5825,12.27,11.9425,0.33,2.74
23-MAR-2017,12.27,12.27,11.2375,11.835,12.27,-0.44,-3.55
24-MAR-2017,11.835,12.1025,10.705,11.9775,11.835,0.14,1.20
27-MAR-2017,11.9775,12.57,11.3375,12.435,11.9775,0.46,3.82
28-MAR-2017,12.435,12.435,11.46,12.1175,12.435,-0.32,-2.55
29-MAR-2017,12.1175,12.24,11.45,12.0875,12.1175,-0.03,-0.25
30-MAR-2017,12.0875,12.45,11.75,12.15,12.0875,0.06,0.52
31-MAR-2017,12.15,12.5125,11.4875,12.42,12.15,0.27,2.22
03-APR-2017,12.42,12.7575,11.41,11.4925,12.42,-0.93,-7.47
05-APR-2017,11.4925,11.8875,10.89,11.55,11.4925,0.06,0.50
06-APR-2017,11.55,11.7675,11.0325,11.29,11.55,-0.26,-2.25
07-APR-2017,11.29,11.8125,10.305,11.6925,11.29,0.40,3.57
10-APR-2017,11.6925,11.9225,11.2425,11.62,11.6925,-0.07,-0.62
11-APR-2017,11.62,11.8325,10.2375,11.395,11.62,-0.23,-1.94
12-APR-2017,11.395,12.065,10.79,11.6275,11.395,0.23,2.04
13-APR-2017,11.6275,11.7825,10.585,11.5775,11.6275,-0.05,-0.43
17-APR-2017,11.5775,12.2125,10.6925,11.8925,11.5775,0.32,2.72
18-APR-2017,11.8925,12.5925,10.76,12.375,11.8925,0.48,4.06
19-APR-2017,12.375,12.515,10.745,12.215,12.375,-0.16,-1.29
20-APR-2017,12.215,12.215,10.855,11.56,12.215,-0.66,-5.36
21-APR-2017,11.56,11.735,10.555,11.4225,11.56,-0.14,-1.19
24-APR-2017,11.4225,11.855,10.9675,11.625,11.4225,0.20,1.77
25-APR-2017,11.625,11.625,10.9725,11.155,11.625,-0.47,-4.04
26-APR-2017,11.155,11.865,9.9175,11.74,11.155,0.59,5.24
