Index Name,Date,Open,High,Low,Close
NIFTY 50,01-01-2025,23637.65,23822.8,23562.8,23742.9
NIFTY 50,31-12-2024,23560.6,23689.85,23460.45,23644.8
NIFTY 50,30-12-2024,23796.9,23915.35,23599.3,23644.9
NIFTY 50,27-12-2024,23801.4,23938.85,23800.6,23813.4
NIFTY 50,26-12-2024,23775.8,23854.5,23653.6,23750.2
NIFTY 50,24-12-2024,23769.1,23867.65,23685.15,23727.65
NIFTY 50,23-12-2024,23738.2,23869.55,23647.2,23753.45
NIFTY 50,20-12-2024,23960.7,24065.8,23537.35,23587.5
NIFTY 50,19-12-2024,23877.15,24004.9,23870.3,23951.7
NIFTY 50,18-12-2024,24297.95,24394.45,24149.85,24198.85
NIFTY 50,17-12-2024,24584.8,24624.1,24303.45,24336.0
NIFTY 50,16-12-2024,24753.4,24781.25,24601.75,24668.25
NIFTY 50,13-12-2024,24498.35,24792.3,24180.8,24768.3
NIFTY 50,12-12-2024,24604.45,24675.25,24527.95,24548.7
NIFTY 50,11-12-2024,24620.5,24691.75,24583.85,24641.8
NIFTY 50,10-12-2024,24652.65,24677.8,24510.65,24610.05
NIFTY 50,09-12-2024,24633.9,24705.0,24580.05,24619.0
NIFTY 50,06-12-2024,24729.45,24751.05,24620.5,24677.8
NIFTY 50,05-12-2024,24539.15,24857.75,24295.55,24708.4
NIFTY 50,04-12-2024,24488.75,24573.2,24366.3,24467.45
NIFTY 50,03-12-2024,24367.5,24481.35,24280.0,24457.15
NIFTY 50,02-12-2024,24140.85,24301.7,24008.65,24276.05
NIFTY 50,29-11-2024,23927.15,24188.45,23927.15,24131.1
NIFTY 50,28-11-2024,24274.15,24345.75,23873.35,23914.15
NIFTY 50,27-11-2024,24204.8,24354.55,24145.65,24274.9
NIFTY 50,26-11-2024,24343.3,24343.3,24125.4,24194.5
NIFTY 50,25-11-2024,24253.55,24351.55,24135.45,24221.9
NIFTY 50,22-11-2024,23411.8,23956.1,23359.0,23907.25
NIFTY 50,21-11-2024,23488.45,23507.3,23263.15,23349.9
NIFTY 50,19-11-2024,23529.55,23780.65,23464.8,23518.5
NIFTY 50,18-11-2024,23605.3,23606.8,23350.4,23453.8
NIFTY 50,14-11-2024,23542.15,23675.9,23484.15,23532.7
NIFTY 50,13-11-2024,23822.45,23873.6,23509.6,23559.05
NIFTY 50,12-11-2024,24225.8,24242.0,23839.15,23883.45
NIFTY 50,11-11-2024,24087.25,24336.8,24004.6,24141.3
NIFTY 50,08-11-2024,24207.7,24276.15,24066.65,24148.2
NIFTY 50,07-11-2024,24489.6,24503.35,24179.05,24199.35
NIFTY 50,06-11-2024,24308.75,24537.6,24204.05,24484.05
NIFTY 50,05-11-2024,23916.5,24229.05,23842.75,24213.3
NIFTY 50,04-11-2024,24315.75,24316.75,23816.15,23995.35
NIFTY 50,01-11-2024,24302.75,24368.25,24280.2,24304.35
NIFTY 50,31-10-2024,24349.85,24372.45,24172.6,24205.35
NIFTY 50,30-10-2024,24371.45,24498.2,24307.3,24340.85
NIFTY 50,29-10-2024,24328.85,24484.5,24140.85,24466.85
NIFTY 50,28-10-2024,24251.1,24492.6,24134.9,24339.15
NIFTY 50,25-10-2024,24418.05,24440.25,24073.9,24180.8
NIFTY 50,24-10-2024,24412.7,24480.65,24341.2,24399.4
NIFTY 50,23-10-2024,24378.15,24604.25,24378.1,24435.5
NIFTY 50,22-10-2024,24798.65,24882.0,24445.8,24472.1
NIFTY 50,21-10-2024,24956.15,24978.3,24679.6,24781.1
NIFTY 50,18-10-2024,24664.95,24886.2,24567.65,24854.05
NIFTY 50,17-10-2024,25027.4,25029.5,24728.9,24749.85
NIFTY 50,16-10-2024,25008.55,25093.4,24908.45,24971.3
NIFTY 50,15-10-2024,25186.3,25212.05,25008.15,25057.35
NIFTY 50,14-10-2024,25023.45,25159.75,25017.5,25127.95
NIFTY 50,11-10-2024,24985.3,25028.65,24920.05,24964.25
NIFTY 50,10-10-2024,25067.05,25134.05,24979.4,24998.45
NIFTY 50,09-10-2024,25065.8,25234.05,24947.7,24981.95
NIFTY 50,08-10-2024,24832.2,25044.0,24756.8,25013.15
NIFTY 50,07-10-2024,25084.1,25143.0,24694.35,24795.75
NIFTY 50,04-10-2024,25181.9,25485.05,24966.8,25014.6
NIFTY 50,03-10-2024,25452.85,25639.45,25230.3,25250.1
NIFTY 50,01-10-2024,25788.45,25907.6,25739.2,25796.9
NIFTY 50,30-09-2024,26061.3,26134.7,25794.1,25810.85
NIFTY 50,27-09-2024,26248.25,26277.35,26151.4,26178.95
NIFTY 50,26-09-2024,26005.4,26250.9,25998.4,26216.05
NIFTY 50,25-09-2024,25899.45,26032.8,25871.35,26004.15
NIFTY 50,24-09-2024,25921.45,26011.55,25886.85,25940.4
NIFTY 50,23-09-2024,25872.55,25956.0,25847.35,25939.05
NIFTY 50,20-09-2024,25525.95,25849.25,25426.6,25790.95
NIFTY 50,19-09-2024,25487.05,25611.95,25376.05,25415.8
NIFTY 50,18-09-2024,25402.4,25482.2,25285.55,25377.55
NIFTY 50,17-09-2024,25416.9,25441.65,25352.25,25418.55
NIFTY 50,16-09-2024,25406.65,25445.7,25336.2,25383.75
NIFTY 50,13-09-2024,25430.45,25430.5,25292.45,25356.5
NIFTY 50,12-09-2024,25059.65,25433.35,24941.45,25388.9
NIFTY 50,11-09-2024,25034.0,25113.7,24885.15,24918.45
NIFTY 50,10-09-2024,24999.4,25130.5,24896.8,25041.1
NIFTY 50,09-09-2024,24823.4,24957.5,24753.15,24936.4
NIFTY 50,06-09-2024,25093.7,25168.75,24801.3,24852.15
NIFTY 50,05-09-2024,25250.5,25275.45,25127.75,25145.1
NIFTY 50,04-09-2024,25089.95,25216.0,25083.8,25198.7
NIFTY 50,03-09-2024,25313.4,25321.7,25235.8,25279.85
NIFTY 50,02-09-2024,25333.6,25333.65,25235.5,25278.7
NIFTY 50,30-08-2024,25249.7,25268.35,25199.4,25235.9
