Date,FII_Gross_Purchase,FII_Gross_Sales,FII_Net_Purchase_Sales,DII_Gross_Purchase,DII_Gross_Sales,DII_Net_Purchase_Sales
03-09-2024,19444.04,18414.79,1029.25,11867.28,9971.07,1896.21
02-09-2024,13772.63,12037.17,1735.46,12538.52,12182.15,356.37
29-08-2024,27036.06,23776.5,3259.56,19919.09,17228.24,2690.85
28-08-2024,13535.83,14883.36,-1347.53,12746.57,12307.22,439.35
27-08-2024,15002.15,13498.39,1503.76,12159.6,12763.68,-604.08
26-08-2024,12749.26,12265.9,483.36,13045.47,11175.25,1870.22
23-08-2024,16775.7,14831.22,1944.48,13341.03,10445.01,2896.02
22-08-2024,18462.95,17091.16,1371.79,12239.7,9267.9,2971.8
21-08-2024,16888.07,17687.81,-799.74,13299.53,10202.08,3097.45
20-08-2024,17714.69,19172.65,-1457.96,13182.77,10930.67,2252.1
19-08-2024,12084.3,14751.76,-2667.46,11138.17,9335.25,1802.92
16-08-2024,18494.25,17727.73,766.52,12795.7,10189.52,2606.18
14-08-2024,14970,17565.27,-2595.27,12269.21,10033,2236.21
13-08-2024,14502.44,16609.61,-2107.17,13005.78,11765.82,1239.96
12-08-2024,13846.14,18526.65,-4680.51,13701.95,9224.22,4477.73
09-08-2024,12454.93,12048.21,406.72,15190.99,11211.4,3979.59
08-08-2024,15490.67,18117.4,-2626.73,11738.64,11161.34,577.3
07-08-2024,14094.77,17409.53,-3314.76,16070.87,12269.66,3801.21
06-08-2024,14389.37,17920.61,-3531.24,14422.78,11065.33,3357.45
05-08-2024,12724.19,22797.94,-10073.75,23766.9,14611.35,9155.55
03-08-2024,19444.04,18414.79,1029.25,11867.28,9971.07,1896.21
02-08-2024,14184.9,17494.9,-3310,16579.92,13613.98,2965.94
01-08-2024,17860.22,15770.94,2089.28,13956.4,14293.43,-337.03
30-07-2024,14451.86,20050.5,-5598.64,18718.94,13153.84,5565.1
29-07-2024,17371.87,19846.41,-2474.54,18993.38,13327.84,5665.54
26-07-2024,18201.3,15654.92,2546.38,18856.44,16082.13,2774.31
25-07-2024,14682.92,17288.41,-2605.49,15760.02,13328.33,2431.69
24-07-2024,16121.97,21252.87,-5130.9,17787.34,14650.04,3137.3
23-07-2024,14330.77,17306.08,-2975.31,17799.44,16380.62,1418.82
22-07-2024,16970.11,13526.05,3444.06,13552.91,15205.25,-1652.34
19-07-2024,15892.61,14386.49,1506.12,15051.42,15512.98,-461.56
18-07-2024,25520.62,20036.99,5483.63,15676.29,18580.54,-2904.25
16-07-2024,14482.47,13211.02,1271.45,14935.86,15465.34,-529.48
15-07-2024,14857.07,12172.29,2684.78,15033.05,15364.05,-331
12-07-2024,19113.62,15092.02,4021.6,14490.17,16141.62,-1651.45
11-07-2024,15359.94,16496.95,-1137.01,15835.3,14158.83,1676.47
10-07-2024,17464.23,16880.27,583.96,15152.85,14070.45,1082.4
09-07-2024,14537.07,14222.61,314.46,13615.06,12198.6,1416.46
08-07-2024,13564.41,13503.43,60.98,14355.09,11488.3,2866.79
05-07-2024,13354.3,12112.97,1241.33,12695.07,14346.43,-1651.36
04-07-2024,13837.28,11261.43,2575.85,11303.32,13678.5,-2375.18
03-07-2024,18023.92,12540.29,5483.63,14121.15,15045.58,-924.43
02-07-2024,14551.15,16551.27,-2000.12,14203.4,13555.15,648.25
01-07-2024,13206.44,13632.47,-426.03,16210.07,12292.64,3917.43
28-06-2024,20605.78,20628.87,-23.09,20973.4,14315.09,6658.31
27-06-2024,30849.47,23190.7,7658.77,26887.35,30493.28,-3605.93
26-06-2024,19920.57,23456,-3535.43,18342.37,13238.7,5103.67
25-06-2024,17331.84,16155.93,1175.91,13519.21,13668.66,-149.45
24-06-2024,13720.3,14374.27,-653.97,11251.18,12071.65,-820.47
21-06-2024,44523.47,46313.66,-1790.19,18603.77,17366.56,1237.21
20-06-2024,16277.11,15861.81,415.3,12564.28,12890.09,-325.81
19-06-2024,24852.22,16943.86,7908.36,22548.24,15440.44,7107.8
18-06-2024,19101.85,16532.45,2569.4,13955.22,12399.49,1555.73
14-06-2024,15691.02,13515.16,2175.86,11876.45,11220.69,655.76
13-06-2024,19191.08,22224.08,-3033,12374.17,12928.05,-553.88
12-06-2024,15273.41,14846.78,426.63,13651.65,13417.9,233.75
11-06-2024,15527.24,15638.28,-111.04,14162.6,10969.31,3193.29
10-06-2024,13721.97,11149.59,2572.38,16933.99,14169.53,2764.46
07-06-2024,19943.97,15552.95,4391.02,15564.17,16853.92,-1289.75
06-06-2024,13969.51,20837.23,-6867.72,17030.3,13311.92,3718.38
05-06-2024,21012.72,26668.98,-5656.26,28615.23,24060.15,4555.08
04-06-2024,26776.17,39212.39,-12436.22,25963.84,29282.82,-3318.98
03-06-2024,23451.26,16600.5,6850.76,22651.16,20737.18,1913.98
30-05-2024,18108.69,21158.84,-3050.15,13748.5,10315.58,3432.92
29-05-2024,14162.04,20003.88,-5841.84,12954.15,7720.36,5233.79
28-05-2024,14739.43,14673.86,65.57,13169.66,9937.99,3231.67
27-05-2024,14013.38,14554.6,-541.22,12902.57,11979.97,922.6
24-05-2024,11564.19,12509.02,-944.83,13475.7,11155.38,2320.32
23-05-2024,19821.55,15150.6,4670.95,12439.4,12292.89,146.51
22-05-2024,16061.42,16747.46,-686.04,13486.33,12524.42,961.91
21-05-2024,17681.01,19555.55,-1874.54,16104.49,12555.52,3548.97
18-05-2024,50.71,143.66,-92.95,149.06,301.93,-152.87
