Date,FII_Gross_Purchase,FII_Gross_Sales,FII_Net_Purchase_Sales,DII_Gross_Purchase,DII_Gross_Sales,DII_Net_Purchase_Sales
18-Oct-16,"5,626.87","5,281.83",345.04,"2,323.82","2,150.46",173.36
17-Oct-16,"4,487.25","4,943.89",-456.64,"2,404.48","2,168.91",235.57
14-Oct-16,"3,983.06","4,929.48",-946.42,"2,837.80","2,280.90",556.9
13-Oct-16,"6,244.03","7,155.56",-911.53,"2,933.90","2,254.41",679.49
10-Oct-16,"1,742.57","2,289.83",-547.26,"2,058.51","1,589.55",468.96
07-Oct-16,"3,298.23","3,241.98",56.25,"2,566.65","1,839.85",726.8
06-Oct-16,"3,596.12","3,242.32",353.8,"2,285.17","2,409.62",-124.45
05-Oct-16,"3,449.13","3,206.13",243,"2,079.91","2,429.77",-349.86
04-Oct-16,"4,779.15","4,435.02",344.13,"2,315.48","2,487.71",-172.23
03-Oct-16,"3,745.10","3,710.88",34.22,"2,479.59","2,281.57",198.02
30-Sep-16,"4,474.94","5,503.25","-1,028.31","3,165.92","1,605.63","1,560.29"
29-Sep-16,"11,460.35","8,046.98","3,413.37","5,372.98","3,742.10","1,630.88"
28-Sep-16,"4,766.15","4,692.32",73.83,"2,262.73","2,332.26",-69.53
27-Sep-16,"3,650.87","3,806.63",-155.76,"2,225.44","2,134.77",90.67
26-Sep-16,"4,381.46","4,587.86",-206.4,"2,396.31","2,509.66",-113.35
23-Sep-16,"5,753.41","6,053.39",-299.98,"2,917.21","2,421.07",496.14
22-Sep-16,"4,744.31","4,407.44",336.87,"2,715.69","2,405.34",310.35
21-Sep-16,"4,216.63","4,032.78",183.85,"2,140.41","2,371.00",-230.59
20-Sep-16,"4,118.64","5,265.57","-1,146.93","3,118.97","2,341.45",777.52
19-Sep-16,"4,070.93","3,865.55",205.38,"2,040.24","2,292.52",-252.28
16-Sep-16,"11,227.46","10,566.87",660.59,"2,589.56","2,802.69",-213.13
15-Sep-16,"3,406.73","3,061.31",345.42,"1,804.95","2,261.86",-456.91
14-Sep-16,"4,569.10","5,046.43",-477.33,"2,399.36","2,407.89",-8.53
12-Sep-16,"3,565.83","4,159.44",-593.61,"2,644.40","2,657.30",-12.9
09-Sep-16,"4,006.88","4,322.12",-315.24,"1,899.86","2,228.12",-328.26
08-Sep-16,"4,671.07","4,559.66",111.41,"2,152.05","2,739.48",-587.43
07-Sep-16,"5,606.66","4,752.60",854.06,"2,406.07","3,174.62",-768.55
06-Sep-16,"5,512.56","4,073.84","1,438.72","2,146.33","2,414.54",-268.21
02-Sep-16,"3,617.63","3,386.44",231.19,"2,590.57","2,455.69",134.88
01-Sep-16,"3,344.28","3,645.79",-301.51,"2,451.15","2,142.99",308.16
30-Aug-16,"4,118.10","3,727.47",390.63,"2,443.53","1,958.39",485.14
29-Aug-16,"3,193.00","2,906.48",286.52,"1,695.11","1,677.62",17.49
26-Aug-16,"3,110.76","2,769.41",341.35,"1,734.67","2,001.10",-266.43
25-Aug-16,"5,619.37","5,991.45",-372.08,"2,996.01","3,353.03",-357.02
