Index Name,Date,Open,High,Low,Close,FII_Gross_Purchase,FII_Gross_Sales,FII_Net_Purchase_Sales,DII_Gross_Purchase,DII_Gross_Sales,DII_Net_Purchase_Sales,vix
NIFTY 50,01-01-2025,23637.65,23822.8,23562.8,23742.9,1237.02,3019.73,-1782.71,8536.97,6846.6,1690.37,14.5075
NIFTY 50,31-12-2024,23560.6,23689.85,23460.45,23644.8,,,,,,,14.4475
NIFTY 50,30-12-2024,23796.9,23915.35,23599.3,23644.9,15507.56,17400.72,-1893.16,41786.62,39612.76,2173.86,13.9725
NIFTY 50,27-12-2024,23801.4,23938.85,23800.6,23813.4,5368.36,6691.65,-1323.29,9436.86,6892.22,2544.64,13.2375
NIFTY 50,26-12-2024,23775.8,23854.5,23653.6,23750.2,4256.31,6632.98,-2376.67,11592.43,8256.27,3336.16,14.035
NIFTY 50,24-12-2024,23769.1,23867.65,23685.15,23727.65,4932.76,7386.97,-2454.21,10514.3,7695.05,2819.25,13.1775
NIFTY 50,23-12-2024,23738.2,23869.55,23647.2,23753.45,8705.49,8874.2,-168.71,11083.76,8856.08,2227.68,13.52
NIFTY 50,20-12-2024,23960.7,24065.8,23537.35,23587.5,30297.83,33895.65,-3597.82,20119.41,18745.04,1374.37,15.0725
NIFTY 50,19-12-2024,23877.15,24004.9,23870.3,23951.7,12685.41,16910.33,-4224.92,14699.53,10756.29,3943.24,14.51
NIFTY 50,18-12-2024,24297.95,24394.45,24149.85,24198.85,13345.2,14662.01,-1316.81,14068.09,9984.01,4084.08,14.3725
NIFTY 50,17-12-2024,24584.8,24624.1,24303.45,24336.0,15558.53,21968.39,-6409.86,11996.54,9290.06,2706.48,14.485
NIFTY 50,16-12-2024,24753.4,24781.25,24601.75,24668.25,11678.24,11956.94,-278.7,8636.76,8871.01,-234.25,14.02
NIFTY 50,13-12-2024,24498.35,24792.3,24180.8,24768.3,15968.39,13633.07,2335.32,9616.97,10349.17,-732.2,13.0525
NIFTY 50,12-12-2024,24604.45,24675.25,24527.95,24548.7,14503.85,18063.86,-3560.01,13418.45,10771.8,2646.65,13.19
NIFTY 50,11-12-2024,24620.5,24691.75,24583.85,24641.8,11528.68,12540.92,-1012.24,11396.21,9388.36,2007.85,13.2675
NIFTY 50,10-12-2024,24652.65,24677.8,24510.65,24610.05,19936.98,18651.02,1285.96,11264.73,10658.94,605.79,13.7775
NIFTY 50,09-12-2024,24633.9,24705.0,24580.05,24619.0,16650.44,15926.17,724.27,10429.71,12077.78,-1648.07,14.1075
NIFTY 50,06-12-2024,24729.45,24751.05,24620.5,24677.8,12013.83,13844.14,-1830.31,11651.37,9992.31,1659.06,14.14
NIFTY 50,05-12-2024,24539.15,24857.75,24295.55,24708.4,24716.78,16176.87,8539.91,13395.84,15699.48,-2303.64,14.5275
NIFTY 50,04-12-2024,24488.75,24573.2,24366.3,24467.45,19968.95,18171.35,1797.6,14082.28,14982.9,-900.62,14.45
NIFTY 50,03-12-2024,24367.5,24481.35,24280.0,24457.15,22450.0,18785.33,3664.67,14553.16,14804.15,-250.99,14.3725
NIFTY 50,02-12-2024,24140.85,24301.7,24008.65,24276.05,13605.12,13843.4,-238.28,12456.43,8867.77,3588.66,14.7
NIFTY 50,29-11-2024,23927.15,24188.45,23927.15,24131.1,14786.35,19169.9,-4383.55,15201.68,9478.34,5723.34,14.425
NIFTY 50,28-11-2024,24274.15,24345.75,23873.35,23914.15,10796.17,22552.42,-11756.25,17685.35,8967.05,8718.3,15.205
NIFTY 50,27-11-2024,24204.8,24354.55,24145.65,24274.9,13027.06,13019.28,7.78,10230.12,8928.15,1301.97,14.625
NIFTY 50,26-11-2024,24343.3,24343.3,24125.4,24194.5,10971.18,9813.48,1157.7,8406.15,10317.01,-1910.86,15.305
NIFTY 50,25-11-2024,24253.55,24351.55,24135.45,24221.9,85251.94,75304.39,9947.55,17624.75,24532.72,-6907.97,15.3025
NIFTY 50,22-11-2024,23411.8,23956.1,23359.0,23907.25,16985.36,18263.73,-1278.37,12251.72,10529.57,1722.15,16.0975
NIFTY 50,21-11-2024,23488.45,23507.3,23263.15,23349.9,16559.63,21880.31,-5320.68,14555.77,10355.61,4200.16,15.99
NIFTY 50,19-11-2024,23529.55,23780.65,23464.8,23518.5,15255.09,18666.82,-3411.73,13657.81,10873.92,2783.89,15.6625
NIFTY 50,18-11-2024,23605.3,23606.8,23350.4,23453.8,14256.29,15659.69,-1403.4,11521.42,9190.86,2330.56,15.1675
NIFTY 50,14-11-2024,23542.15,23675.9,23484.15,23532.7,13003.06,14852.93,-1849.87,10200.35,7718.54,2481.81,14.775
NIFTY 50,13-11-2024,23822.45,23873.6,23509.6,23559.05,15178.17,17680.75,-2502.58,14095.16,7949.92,6145.24,15.435
NIFTY 50,12-11-2024,24225.8,24242.0,23839.15,23883.45,12542.73,15567.04,-3024.31,10330.28,8475.82,1854.46,14.59
NIFTY 50,11-11-2024,24087.25,24336.8,24004.6,24141.3,9430.85,11737.73,-2306.88,9848.87,7822.24,2026.63,14.27
NIFTY 50,08-11-2024,24207.7,24276.15,24066.65,24148.2,9336.94,12740.98,-3404.04,11246.96,9498.52,1748.44,14.47
NIFTY 50,07-11-2024,24489.6,24503.35,24179.05,24199.35,11736.07,16624.84,-4888.77,11374.43,9587.73,1786.7,14.94
NIFTY 50,06-11-2024,24308.75,24537.6,24204.05,24484.05,11911.9,16357.49,-4445.59,16061.64,11172.31,4889.33,14.8675
NIFTY 50,05-11-2024,23916.5,24229.05,23842.75,24213.3,11851.47,14420.88,-2569.41,12616.72,9585.76,3030.96,16.1225
NIFTY 50,04-11-2024,24315.75,24316.75,23816.15,23995.35,13786.39,18116.18,-4329.79,12449.82,9513.74,2936.08,16.6875
NIFTY 50,01-11-2024,24302.75,24368.25,24280.2,24304.35,68.79,280.72,-211.93,50.09,427.42,-377.33,15.9025
NIFTY 50,31-10-2024,24349.85,24372.45,24172.6,24205.35,,,,,,,15.55
NIFTY 50,30-10-2024,24371.45,24498.2,24307.3,24340.85,14908.59,19522.24,-4613.65,13594.06,9075.78,4518.28,15.51
NIFTY 50,29-10-2024,24328.85,24484.5,24140.85,24466.85,15508.5,16057.19,-548.69,12823.77,12093.64,730.13,14.515
NIFTY 50,28-10-2024,24251.1,24492.6,24134.9,24339.15,13393.3,16621.38,-3228.08,12258.32,10857.47,1400.85,14.29
NIFTY 50,25-10-2024,24418.05,24440.25,24073.9,24180.8,14209.84,17246.59,-3036.75,15203.44,11044.15,4159.29,14.6325
NIFTY 50,24-10-2024,24412.7,24480.65,24341.2,24399.4,12537.42,17599.87,-5062.45,13827.85,10207.38,3620.47,13.97
NIFTY 50,23-10-2024,24378.15,24604.25,24378.1,24435.5,14752.71,20437.34,-5684.63,16433.67,10393.77,6039.9,14.6225
NIFTY 50,22-10-2024,24798.65,24882.0,24445.8,24472.1,15579.8,19558.41,-3978.61,16865.8,10996.74,5869.06,14.395
NIFTY 50,21-10-2024,24956.15,24978.3,24679.6,24781.1,11982.7,14244.53,-2261.83,13741.13,10515.22,3225.91,13.7625
NIFTY 50,18-10-2024,24664.95,24886.2,24567.65,24854.05,12348.95,17834.65,-5485.7,13850.16,8635.33,5214.83,13.0375
NIFTY 50,17-10-2024,25027.4,25029.5,24728.9,24749.85,9721.1,17142.5,-7421.4,16817.01,11837.18,4979.83,13.3875
NIFTY 50,16-10-2024,25008.55,25093.4,24908.45,24971.3,14465.64,17901.58,-3435.94,13432.45,11176.16,2256.29,13.0525
NIFTY 50,15-10-2024,25186.3,25212.05,25008.15,25057.35,16097.89,17846.6,-1748.71,13229.43,11574.47,1654.96,13.0025
NIFTY 50,14-10-2024,25023.45,25159.75,25017.5,25127.95,9364.16,13095.75,-3731.59,11597.52,9319.43,2278.09,12.995
NIFTY 50,11-10-2024,24985.3,25028.65,24920.05,24964.25,6219.76,10382.42,-4162.66,11906.51,8175.64,3730.87,13.22
NIFTY 50,10-10-2024,25067.05,25134.05,24979.4,24998.45,16514.3,21440.91,-4926.61,13301.19,9422.86,3878.33,13.495
