Date,FII_Gross_Purchase,FII_Gross_Sales,FII_Net_Purchase_Sales,DII_Gross_Purchase,DII_Gross_Sales,DII_Net_Purchase_Sales
26-08-2024,12749.26,12265.9,483.36,13045.47,11175.25,1870.22
23-08-2024,16775.7,14831.22,1944.48,13341.03,10445.01,2896.02
22-08-2024,18462.95,17091.16,1371.79,12239.7,9267.9,2971.8
21-08-2024,16888.07,17687.81,-799.74,13299.53,10202.08,3097.45
20-08-2024,17714.69,19172.65,-1457.96,13182.77,10930.67,2252.1
19-08-2024,12084.3,14751.76,-2667.46,11138.17,9335.25,1802.92
16-08-2024,18494.25,17727.73,766.52,12795.7,10189.52,2606.18
14-08-2024,14970,17565.27,-2595.27,12269.21,10033,2236.21
13-08-2024,14502.44,16609.61,-2107.17,13005.78,11765.82,1239.96
12-08-2024,13846.14,18526.65,-4680.51,13701.95,9224.22,4477.73
09-08-2024,12454.93,12048.21,406.72,15190.99,11211.4,3979.59
08-08-2024,15490.67,18117.4,-2626.73,11738.64,11161.34,577.3
07-08-2024,14094.77,17409.53,-3314.76,16070.87,12269.66,3801.21
06-08-2024,14389.37,17920.61,-3531.24,14422.78,11065.33,3357.45
05-08-2024,12724.19,22797.94,-10073.75,23766.9,14611.35,9155.55
03-08-2024,19444.04,18414.79,1029.25,11867.28,9971.07,1896.21
02-08-2024,14184.9,17494.9,-3310,16579.92,13613.98,2965.94
01-08-2024,17860.22,15770.94,2089.28,13956.4,14293.43,-337.03
30-07-2024,14451.86,20050.5,-5598.64,18718.94,13153.84,5565.1
29-07-2024,17371.87,19846.41,-2474.54,18993.38,13327.84,5665.54
26-07-2024,18201.3,15654.92,2546.38,18856.44,16082.13,2774.31
25-07-2024,14682.92,17288.41,-2605.49,15760.02,13328.33,2431.69
24-07-2024,16121.97,21252.87,-5130.9,17787.34,14650.04,3137.3
23-07-2024,14330.77,17306.08,-2975.31,17799.44,16380.62,1418.82
22-07-2024,16970.11,13526.05,3444.06,13552.91,15205.25,-1652.34
19-07-2024,15892.61,14386.49,1506.12,15051.42,15512.98,-461.56
18-07-2024,25520.62,20036.99,5483.63,15676.29,18580.54,-2904.25
16-07-2024,14482.47,13211.02,1271.45,14935.86,15465.34,-529.48
