date,vix
04-01-2011,20.11000061
06-01-2011,16.72999954
07-01-2011,18.20999908
08-01-2011,18.78000069
11-01-2011,24.02000046
12-01-2011,25.02000046
05-02-2011,20.87999916
06-02-2011,17.97999954
08-02-2011,19.14999962
09-02-2011,26.09000015
11-02-2011,24.88999939
12-02-2011,23.98999977
05-03-2011,21.57999992
06-03-2011,17.61000061
08-03-2011,19.47999954
10-03-2011,35.06999969
11-03-2011,24.65999985
04-04-2011,20.05999947
05-04-2011,21.18000031
07-04-2011,18.17000008
08-04-2011,20.21999931
10-04-2011,37.18999863
11-04-2011,23.43000031
04-05-2011,19.89999962
05-05-2011,21.60000038
07-05-2011,18.25
08-05-2011,24.89999962
09-05-2011,27.82999992
10-05-2011,35.36999893
12-05-2011,25.02000046
04-06-2011,20.36000061
05-06-2011,20.96999931
06-06-2011,18.20999908
07-06-2011,18.34000015
09-06-2011,28.65999985
04-07-2011,20.31999969
06-07-2011,18.03000069
07-07-2011,18.62000084
09-07-2011,27.86000061
10-07-2011,33.02000046
12-07-2011,26.45999908
04-08-2011,20.54000092
06-08-2011,18.57999992
07-08-2011,18.67000008
08-08-2011,28.78000069
09-08-2011,27.63999939
11-08-2011,23.70999908
12-08-2011,28.57999992
05-09-2011,21.5
06-09-2011,18.57999992
08-09-2011,34.88000107
09-09-2011,28.14999962
11-09-2011,24.29999924
12-09-2011,29.53000069
05-10-2011,21.73999977
06-10-2011,18.54000092
08-10-2011,28.95000076
10-10-2011,30.03000069
04-11-2011,21.23999977
05-11-2011,21.23999977
07-11-2011,19.69000053
08-11-2011,29.09000015
10-11-2011,30.29999924
11-11-2011,24.73999977
05-12-2011,21.22999954
07-12-2011,20.82999992
08-12-2011,27.02000046
09-12-2011,32.75
10-12-2011,28.40999985
12-12-2011,29.27000046
02-01-2012,22.88999939
03-01-2012,27.67000008
06-01-2012,26.77000046
08-01-2012,16.45000076
10-01-2012,16.34000015
11-01-2012,14.07999992
01-02-2012,27.53000069
02-02-2012,23.69000053
03-02-2012,27.84000015
04-02-2012,20.87999916
05-02-2012,18.54000092
07-02-2012,19.01000023
08-02-2012,16.77000046
11-02-2012,13.65999985
01-03-2012,26.15999985
02-03-2012,24.09000015
04-03-2012,20.01000023
05-03-2012,19.25
07-03-2012,18.55999947
08-03-2012,16.12000084
09-03-2012,17.28000069
10-03-2012,16.5
12-03-2012,15.61999989
01-04-2012,26.40999985
04-04-2012,20.62999916
05-04-2012,21.12000084
06-04-2012,25.60000038
07-04-2012,18.27000046
09-04-2012,16.59000015
10-04-2012,16.44000053
12-04-2012,15.90999985
01-05-2012,25.90999985
03-05-2012,28.92000008
06-05-2012,26.26000023
07-05-2012,18.35000038
09-05-2012,17.01000023
10-05-2012,16.78000069
11-05-2012,14.63000011
12-05-2012,16.62000084
01-06-2012,25.45999908
02-06-2012,24.62000084
03-06-2012,27.34000015
06-06-2012,24.89999962
07-06-2012,18.04000092
08-06-2012,16.21999931
09-06-2012,16.97999954
11-06-2012,15.21000004
12-06-2012,15.23999977
02-07-2012,24.90999985
03-07-2012,26.32999992
05-07-2012,20.21999931
06-07-2012,23.63999939
08-07-2012,16.20999908
09-07-2012,15.26000023
11-07-2012,14.51000023
12-07-2012,14.96000004
02-08-2012,24.27000046
05-08-2012,22.15999985
06-08-2012,23.46999931
08-08-2012,16.37000084
10-08-2012,17.17000008
11-08-2012,14.22000027
01-09-2012,25.68000031
02-09-2012,23.29999924
03-09-2012,25.46999931
04-09-2012,22.32999992
05-09-2012,23.04000092
07-09-2012,18.71999931
08-09-2012,16.32999992
10-09-2012,16.79999924
11-09-2012,14.36999989
01-10-2012,24.0
02-10-2012,23.82999992
04-10-2012,21.92000008
05-10-2012,22.71999931
07-10-2012,17.82999992
08-10-2012,16.06999969
09-10-2012,15.27000046
10-10-2012,16.82999992
12-10-2012,14.51000023
01-11-2012,24.54000092
04-11-2012,22.29000092
05-11-2012,22.47999954
06-11-2012,25.02000046
07-11-2012,18.38999939
09-11-2012,15.38000011
10-11-2012,16.48999977
12-11-2012,14.67000008
01-12-2012,24.03000069
03-12-2012,26.27000046
04-12-2012,21.78000069
06-12-2012,24.20000076
07-12-2012,18.70999908
09-12-2012,15.03999996
10-12-2012,16.48999977
11-12-2012,14.85999966
12-12-2012,14.51000023
01-01-2013,13.68999958
02-01-2013,13.76000023
03-01-2013,14.06000042
04-01-2013,14.85000038
07-01-2013,18.09000015
08-01-2013,19.80999947
10-01-2013,25.77000046
11-01-2013,18.63999939
01-02-2013,13.71000004
04-02-2013,14.10000038
05-02-2013,16.28000069
07-02-2013,18.20999908
08-02-2013,20.88999939
09-02-2013,27.54999924
12-02-2013,23.36000061
01-03-2013,13.47000027
04-03-2013,14.86999989
05-03-2013,15.55000019
06-03-2013,17.29000092
07-03-2013,18.90999985
09-03-2013,32.49000168
10-03-2013,25.17000008
12-03-2013,24.71999931
01-04-2013,13.36999989
02-04-2013,14.34000015
03-04-2013,13.67000008
04-04-2013,15.85000038
06-04-2013,17.26000023
07-04-2013,18.57999992
09-04-2013,31.11000061
10-04-2013,26.12999916
12-04-2013,23.70999908
02-05-2013,14.60999966
03-05-2013,13.39000034
04-05-2013,16.15999985
06-05-2013,16.78000069
07-05-2013,18.67000008
08-05-2013,20.79999924
09-05-2013,28.53000069
11-05-2013,19.94000053
12-05-2013,21.68000031
02-06-2013,14.26000023
03-06-2013,13.39999962
